code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1544148,TRUE,BARROW Aminata Nia-Maria,BARROW ANM,Aminata Nia-Maria BARROW,Female,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,0,0,['Swimming'],"[""Women's 100m Breaststroke""]",02-Jan-2004,Unknown,Great Britain,"PROVIDENCE, RI",United States
1544151,TRUE,SHORTMAN Kate,SHORTMAN K,Kate SHORTMAN,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Artistic Swimming'],['Duet'],19-Nov-2001,BRISTOL,Great Britain,BRISTOL,Great Britain
1544165,TRUE,CRISP Leah Phoebe,CRISP LP,Leah Phoebe CRISP,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Marathon Swimming'],"[""Women's 10km""]",16-Oct-2001,WAKEFIELD,Great Britain,BATH,Great Britain
1544168,TRUE,PARDOE Hector,PARDOE H,Hector PARDOE,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Marathon Swimming'],"[""Men's 10km""]",29-Mar-2001,WREXHAM,Great Britain,LOUGHBOROUGH,Great Britain
1544169,TRUE,ROBINSON Tobias Patrick,ROBINSON TP,Tobias Patrick ROBINSON,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Marathon Swimming'],"[""Men's 10km""]",22-Aug-1996,WOLVERHAMPTON,Great Britain,LOUGHBOROUGH,Great Britain
1544179,TRUE,CAMPBELL Emily,CAMPBELL E,Emily CAMPBELL,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Weightlifting'],"[""Women's +81kg""]",06-May-1994,NOTTINGHAM,Great Britain,NOTTINGHAM,Great Britain
1544192,TRUE,URIBE BERMUDEZ Luis Felipe,URIBE BERMUDEZ LF,Luis Felipe URIBE BERMUDEZ,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0,['Diving'],"[""Men's 3m Springboard""]",03-Sep-2001,RISARALDA,Colombia,Unknown,Unknown
1544200,TRUE,HURSEY Anna,HURSEY A,Anna HURSEY,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Table Tennis'],"[""Women's Singles""]",22-Jun-2006,CARMARTHEN,Great Britain,CARDIFF,Great Britain
1544203,TRUE,PITCHFORD Liam,PITCHFORD L,Liam PITCHFORD,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0,['Table Tennis'],"[""Men's Singles""]",12-Jul-1993,CHESTERFIELD,Great Britain,CHESTERFIELD,Great Britain
1544208,TRUE,SOLARTE Alejandro,SOLARTE A,Alejandro SOLARTE,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0,['Diving'],"[""Men's 10m Platform""]",21-Sep-2001,CALI,Colombia,CALI,Colombia
1544211,TRUE,VELASQUEZ SOTO Maria Carolina,VELASQUEZ SOTO MC,Maria Carolina VELASQUEZ SOTO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0,0,['Triathlon'],"[""Women's Individual""]",09-Jun-1997,MARINILLA,Colombia,CALDAS,Colombia
1544214,TRUE,McARTHUR Hamish,McARTHUR H,Hamish McARTHUR,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,182,0,['Sport Climbing'],"[""Men's Boulder & Lead""]",06-Mar-2002,YORK,Great Britain,Unknown,Great Britain
1544215,TRUE,McNEICE Erin,McNEICE E,Erin McNEICE,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,165,0,['Sport Climbing'],"[""Women's Boulder & Lead""]",06-Apr-2004,RODMERSHAM,Great Britain,Unknown,Great Britain
1544218,TRUE,ROBERTS Toby,ROBERTS T,Toby ROBERTS,Male,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,174,0,['Sport Climbing'],"[""Men's Boulder & Lead""]",15-Mar-2005,Unknown,Great Britain,SURREY,Great Britain
1544220,TRUE,THOMPSON-SMITH Molly,THOMPSON-SMITH M,Molly THOMPSON-SMITH,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,157,0,['Sport Climbing'],"[""Women's Boulder & Lead""]",07-Nov-1997,LONDON,Great Britain,Unknown,Unknown
1544228,TRUE,WILSON Maximillian,WILSON M,Maximillian WILSON,Male,Athlete,ISV,"Virgin Islands, US","Virgin Islands, US",United States,United States of America,USA,0,0,['Swimming'],"[""Men's 100m Backstroke""]",28-Apr-2004,Unknown,Unknown,Unknown,Unknown
1544301,TRUE,MADRID Marcos,MADRID M,Marcos MADRID,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Table Tennis'],"[""Men's Singles""]",06-Sep-1986,PUEBLA,Mexico,PARIS,France
1544310,TRUE,COSSIO ACEVES Arantxa,COSSIO ACEVES A,Arantxa COSSIO ACEVES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Table Tennis'],"[""Women's Singles""]",07-May-2004,TOTOLAN,Mexico,Unknown,Unknown
1544321,TRUE,MAKABR Hesham,MAKABR H,Hesham MAKABR,Male,Athlete,YEM,Yemen,Yemen,Yemen,Yemen,YEM,0,0,['Judo'],['Men -60 kg'],03-May-2004,Unknown,Yemen,Unknown,Yemen
1544327,TRUE,KUSHARE Sarvesh Anil,KUSHARE SA,Sarvesh Anil KUSHARE,Male,Athlete,IND,India,India,India,India,IND,172,0,['Athletics'],"[""Men's High Jump""]",17-Jun-1995,DEVARGAON,India,Unknown,Unknown
1544334,TRUE,KURIAN Mijo Chacko,KURIAN MC,Mijo Chacko KURIAN,Male,Alternate Athlete,IND,India,India,India,India,IND,175,0,['Athletics'],"[""Men's 4 x 400m Relay""]",16-Jul-1995,Unknown,Unknown,Unknown,Unknown
1544335,TRUE,VARIYATHODI Muhammed Ajmal,VARIYATHODI MA,Muhammed Ajmal VARIYATHODI,Male,Athlete,IND,India,India,India,India,IND,176,0,['Athletics'],"[""Men's 4 x 400m Relay""]",01-Jun-1998,PALAKKAD,India,Unknown,India
1544336,TRUE,YAHIYA Muhammed Anas,YAHIYA MA,Muhammed Anas YAHIYA,Male,Athlete,IND,India,India,India,India,IND,176,0,['Athletics'],"[""Men's 4 x 400m Relay""]",17-Sep-1994,THIRUVANANTHAPURAM,India,Unknown,India
1544338,TRUE,RAMESH Rajesh,RAMESH R,Rajesh RAMESH,Male,Athlete,IND,India,India,India,India,IND,174,0,['Athletics'],"[""Men's 4 x 400m Relay""]",28-Mar-1999,Unknown,Unknown,Unknown,Unknown
1544339,TRUE,TAMILARASAN Santhosh Kumar,TAMILARASAN SK,Santhosh Kumar TAMILARASAN,Male,Athlete,IND,India,India,India,India,IND,176,0,['Athletics'],"[""Men's 4 x 400m Relay""]",01-Jan-1998,Unknown,Unknown,Unknown,Unknown
1544346,TRUE,SABLE Avinash Mukund,SABLE AM,Avinash Mukund SABLE,Male,Athlete,IND,India,India,India,India,IND,165,0,['Athletics'],"[""Men's 3000m Steeplechase""]",13-Sep-1994,MANDWA,India,MANDWA,India
1544350,TRUE,NARANGOLINTEVIDA Abdulla,NARANGOLINTEVIDA A,Abdulla NARANGOLINTEVIDA,Male,Athlete,IND,India,India,India,India,IND,176,0,['Athletics'],"[""Men's Triple Jump""]",17-Jan-1996,NADAPURAM,India,KERALA,India
1544354,TRUE,SINGH Vikash,SINGH V,Vikash SINGH,Male,Athlete,IND,India,India,India,India,IND,178,0,['Athletics'],"[""Men's 20km Race Walk""]",06-Jul-1996,Unknown,India,DELHI,India
1544355,TRUE,BISHT Paramjeet Singh,BISHT PS,Paramjeet Singh BISHT,Male,Athlete,IND,India,India,India,India,IND,175,0,['Athletics'],"[""Men's 20km Race Walk""]",03-Mar-2002,CHAMOLI,India,Unknown,India
1544358,TRUE,SINGH Akshdee,SINGH A,Akshdeep SINGH,Male,Athlete,IND,India,India,India,India,IND,178,0,['Athletics'],"[""Men's 20km Race Walk""]",22-Nov-1999,Unknown,India,BANGALORE,India
1544360,TRUE,PANWAR Suraj,PANWAR S,Suraj PANWAR,Male,Athlete,IND,India,India,India,India,IND,174,0,['Athletics'],['Marathon Race Walk Relay Mixed'],02-Apr-2001,Unknown,Unknown,Unknown,Unknown
1544385,TRUE,TOOR Tajinderpal Singh,TOOR TS,Tajinderpal Singh TOOR,Male,Athlete,IND,India,India,India,India,IND,190,0,['Athletics'],"[""Men's Shot Put""]",13-Nov-1994,LUDHIANA,India,MOGA,India
1544388,TRUE,JENA Kishore,JENA K,Kishore JENA,Male,Athlete,IND,India,India,India,India,IND,178,0,['Athletics'],"[""Men's Javelin Throw""]",06-Sep-1995,KOTHASAHI,India,KOTHASAHI,India
1544392,TRUE,ZHALAYEV Musa,ZHALAYEV M,Musa ZHALAYEV,Male,Athlete,TKM,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,TKM,0,0,['Swimming'],"[""Men's 100m Freestyle""]",15-May-2003,Unknown,Unknown,Unknown,Unknown
1544413,TRUE,KARAPETYAN Garik,KARAPETYAN G,Garik KARAPETYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Weightlifting'],"[""Men's 102kg""]",11-Jun-2003,Unknown,Unknown,GYUMRI,Armenia
1544417,TRUE,KARAPETYAN Andranik,KARAPETYAN A,Andranik KARAPETYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Weightlifting'],"[""Men's 89kg""]",15-Dec-1995,VAGHARSHAPAT,Armenia,Unknown,Unknown
